"winery" "address" "city" "app" "lat" "lon"
"Trinitas Cellars" "875 Bordeaux Way" "Napa" "Yes" 38.2463102 -122.2735862
"Truchard Vineyard" "3234 Old Sonoma Road" "Napa" "Yes" 38.2856081 -122.3231614
"Tudal Family" "1015 Big Tree Road" "St. Helena" "Yes" 38.54887 -122.50348
"Tulocay Winery" "1426 Coombsville Road" "Napa" "Yes" 38.297995 -122.258697
"Turnbull Wine Cellars" "8210 St. Helena Highway" "St. Helena" "No" 38.5071899 -122.4735151
"Twomey Cellars" "1183 Dunaweal Lane" "Calistoga" "No" 38.565812 -122.5567181
"V. Sattui" "1111 White Lane" "St. Helena" "No" 38.4890413 -122.4482411
"Van Der Heyden Vineyards" "4057 Silverado Trail" "Napa" "Yes" 38.3578454 -122.289718
"Varozza Vineyards" "514 Pratt Ave" "St. Helena" "Yes" 38.517153 -122.47527
"Veedercrest Vineyards" "649 Main Streeet" "St. Helena" "Yes" 38.5000776 -122.462994
"Vermeil Wines" "1255 Lincoln Ave" "Calistoga" "No" 38.5771329 -122.5797827
"VGS Chateau Potelle" "1200 Dowdell Lane" "St. Helena" "No" 38.4979747 -122.4598283
"Viader" "1120 Deer Park Road" "Deer Park" "Yes" 38.5599141 -122.4744928
"Vincent Arroyo" "2361 Greenwood Ave" "Calistoga" "Yes" 38.5971318 -122.5892861
"Vine Cliff" "7400 Silverado Trail" "Napa" "Yes" 38.4471484 -122.3505725
"Vineyard 29" "2929 St. Helena Highway N" "St. Helena" "Yes" 38.5213317 -122.4937408
"Vineyard 7 & 8" "4028 Spring Mountain Rd." "St. Helena" "Yes" 38.5260948 -122.5524806
"Volker Eisele Family Estate" "3080 Lower Chiles Valley" "St. Helena" "Yes" 38.5326055 -122.3261622
"Von Strasser" "1520 Diamond Mountain Rd" "Calistoga" "Yes" 38.5637811 -122.5774588
"Wermuth Winery" "3942 Silverado Trail" "Calistoga" "No" 38.563986 -122.510445
"Whetstone wine Cellars" "1130 Main Street" "Napa" "Yes" 38.2999211 -122.2860576
"White Rock Vineyards" "1115 Loma Vista Dr" "Napa" "Yes" 38.3775369 -122.286576
"Whitehall Lane" "1563 St. Helena Hwy" "St. Helena" "No" 38.4774195 -122.436509
"William Cole Vineyards" "2849 St. Helena Highway N" "" "Yes" 38.5180069 -122.4905489
"William Harrison" "1443 Silverado Trail" "St. Helena" "No" 38.494647 -122.422564
"William Hill Estate" "1761 Atlas Peak Road" "Napa" "Yes" 38.3555165 -122.2700462
"Wing Canyon Vineyard" "3100 Mt. Veeder Road" "Napa" "Yes" 38.378736 -122.41548
"X Winery" "1405 2nd Street " "Napa" "Yes" 38.296712 -122.288099
"York Creek" "3601 Langtry Road" "St. Helena" "Yes" 38.513218 -122.54041
"Zacherle Wines" "1516 Harley Street" "Calistoga" "No" 38.583488 -122.582426
"Zathila Vineyards" "2250 Lake County Hwy" "Calistoga" "Yes" 38.59183 -122.577861
"ZD Winery" "8383 Silverado Trail" "Napa" "No" 38.476281 -122.3892037
"1313 Main" "1313 Main Street" "Napa" "No" 38.3014333 -122.2873084
"750 Wines" "1224 Adams Street" "St. Helena" "Yes" 38.5050151 -122.4709058
"Acme Fine Wines" "1080 Fulton Lane" "St. Helena" "No" 38.508212 -122.472658
"Backroom Wines" "1000 Main Street, Shop 120" "Napa" "No" 38.2975381 -122.286865
"Bounty Hunter" "975 First Street" "Napa" "No" 38.2992728 -122.2851067
"Calistoga Wine Stop" "1458 Lincoln Ave #2" "Calistoga" "No" 38.5795485 -122.5785406
"Groezingers Wine Shop" "6484 Washington Street" "Yountville" "No" 38.3999028 -122.3588465
"M(a)isonry" "6711 Washington Street" "Yountville" "Yes" 38.4054374 -122.366372
"Mark Herold Wines" "710 First Street" "Napa" "No" 38.301007 -122.2823406
"Napa General Store" "540 Main Street" "Napa" "No" 38.2959944 -122.2826192
"Oxbow Wine Merchants" "610 First Street" "Napa" "No" 38.301602 -122.2815194
"Salon St. Helena" "1118 Hunt Street" "St. Helena" "Yes" 38.5047135 -122.4683837
"Square One" "1331 First Street" "Napa" "No" 38.2976001 -122.2884552
"St. Helena Wine Center" "1321 Main Street" "St. Helena" "No" 38.5044691 -122.4692733
"Uncorked at Oxbow" "605 First Street" "Napa" "No" 38.3012317 -122.2811112
"V Wine Cellars" "6525 Washington Street" "Yountville" "No" 38.4020404 -122.36243
"Vintner's Collective" "1245 Main St" "Napa" "No" 38.30109 -122.28725
"Tank Garage" "1020 Foothill Blvd #C" "Calistoga" "No" 38.575233 -122.579587
